"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"Is not the device that they wear in my mind, but the smell in the workplace.... did they do any air monitoring?","1","0","2026-04-16T06:50:11.000Z","avatarlow","https://www.tiktok.com/@cnn/video/7628899499397696782","6891961908150322177","7629245718763930386","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/096efb222332a8fa7ba9d422ccfa8f39~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6a4f9f5e&x-expires=1776834000&x-signature=PpNEjKWWeQE5mShG7Q1IFjxYrXQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"","5","0","2026-04-16T09:01:16.000Z","burnquuist","https://www.tiktok.com/@cnn/video/7628899499397696782","7332985657536545797","7629279541730476818","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/2eb8e7d252d08754520655b6d6c21c72~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=89168a3f&x-expires=1776834000&x-signature=UBwY5mF2buEghJFgShzzkyA5M8I%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"they should be paid well wtf for this especially if its forced","1","0","2026-04-17T19:06:57.000Z","staticshockpw","https://www.tiktok.com/@cnn/video/7628899499397696782","7533869003962434573","7629806603374723871","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/9a2f801c8f4ffb427678434f16da7639~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2909e8dc&x-expires=1776834000&x-signature=3KM3zWt1nFMt0eIiKmmfDTqYYXk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"need to train reporters to AI so they become unbias in news story","6","0","2026-04-15T15:23:02.000Z","syah.yem","https://www.tiktok.com/@cnn/video/7628899499397696782","7221556841938797586","7629006838167880455","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c1fcc95f843cff608b5e7b64f24d00fb~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=38482b7a&x-expires=1776834000&x-signature=Rre80JYouEePQoYuGy8rjTaQIKo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Rage Against The Machine...
(The sewing machine).
😆","1","0","2026-04-15T23:04:33.000Z","angel.lopez3698","https://www.tiktok.com/@cnn/video/7628899499397696782","7320644120904975366","7629125585349313297","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/aafb7ac631a3bc8533f1224eb6cc39f4~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=af71f28b&x-expires=1776834000&x-signature=N4bECSOP3WcueoMmuv%2FR32Iz4B0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Short answer: yes","4","0","2026-04-15T15:13:51.000Z","criscanai","https://www.tiktok.com/@cnn/video/7628899499397696782","6796142667011343366","7629004476431860487","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/14fda57fe19062d267cac98d8bf1fc15~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2113c64a&x-expires=1776834000&x-signature=1J8TzgYBxNNBK25yew1dQ72%2FWqw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"So why am I going to school 😭","2","0","2026-04-15T08:56:55.000Z","rodrigo.marcos06","https://www.tiktok.com/@cnn/video/7628899499397696782","7625657644213142548","7628907336585069319","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/41f2c4425155563861f9830e07b664ab~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c9ebb2c4&x-expires=1776834000&x-signature=5rTLjhMYPN7NkMsn0ESxkfCgzpY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"1st","3","0","2026-04-15T08:28:42.000Z","japsmmixsz","https://www.tiktok.com/@cnn/video/7628899499397696782","7440325957041685521","7628900018821612309","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/f156a746241563263a7de5172a2802de~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c60a092d&x-expires=1776834000&x-signature=5ndX7I4KTcYvgbocGCNXFnflJxA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Interesting, so staff in textile and manufacturing will film themselves working, that will go around the world so companies can buy robots preloaded with textile and manufacturing skills and will then setup automated workforces removing textile and manufacturing reliance from the places sending the data 🥸👀","1","0","2026-04-15T15:50:52.000Z","ky8_tegridy","https://www.tiktok.com/@cnn/video/7628899499397696782","7152560893779772421","7629014017084687111","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/8e194f77dd8043af0659fe9fa3fa31ed~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9198fb1f&x-expires=1776834000&x-signature=QxwFMa5wmCZVsIbI2s9AVQwtHOA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"okay so how AI replace construction workers","0","0","2026-04-16T07:43:36.000Z","baynatics","https://www.tiktok.com/@cnn/video/7628899499397696782","6896771175042024449","7629259505692640016","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7325275728012902402~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1c02924e&x-expires=1776834000&x-signature=4jMMuJ64Mnt77tss6uMZIyp22hQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Once there’s no need for ppl there’s no need for the product","0","0","2026-04-17T14:59:15.000Z","dawnofthediabolicalgem","https://www.tiktok.com/@cnn/video/7628899499397696782","6948224770236515334","7629742742348366605","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/3e09e63f65776c17ee07f2bbc7efc638~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0d9a11c1&x-expires=1776834000&x-signature=V86cGGXXBTA3EaSfcfb9bVFkmIQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"I'm sure it will replace them","0","0","2026-04-16T19:16:14.000Z","wendydp37","https://www.tiktok.com/@cnn/video/7628899499397696782","6929183699007915010","7629437999445263111","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/7325640404714389510~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7ac80b85&x-expires=1776834000&x-signature=HoC01dpvGDgeFEXRS8ydZ5ovSSw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"AI taking all the jobs","0","0","2026-04-20T14:03:37.000Z","oooooooooo0225","https://www.tiktok.com/@cnn/video/7628899499397696782","7610060358702859277","7630841703146308365","https://p16-common-sign.tiktokcdn-us.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a9394424&x-expires=1776834000&x-signature=OTkMua00Ofj5zSO9SowKyTr%2FCWg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"doesn't look like it. not tracking hands","0","0","2026-04-17T22:37:00.000Z","d5512767","https://www.tiktok.com/@cnn/video/7628899499397696782","7290699158209578026","7629860765201859341","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7290700919174823979~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3fbc99b6&x-expires=1776834000&x-signature=DcFAkGQLkxGj4h%2FxUz2pU1G0Bm8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Corporations making them do this: no we’re not going to use this data to replace you…. Trust us, we have your best interest in mind and we won’t replace you with those you train… 😅😅😅","0","0","2026-04-19T18:33:48.000Z","mikeyswift88","https://www.tiktok.com/@cnn/video/7628899499397696782","7076555097253807146","7630540247986357006","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7076555560878866475~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=746e6730&x-expires=1776834000&x-signature=65GNc%2Fw6rHPFmBiStcjtF4LbJL0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"it depends on the ppl developing the jobs","0","0","2026-04-17T14:40:59.000Z","lablugirl","https://www.tiktok.com/@cnn/video/7628899499397696782","7159018626246427694","7629738076197487390","https://p16-common-sign.tiktokcdn-us.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a9394424&x-expires=1776834000&x-signature=OTkMua00Ofj5zSO9SowKyTr%2FCWg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"These scam calls are going to be very convincing","0","0","2026-04-18T19:56:47.000Z","cardinals100001","https://www.tiktok.com/@cnn/video/7628899499397696782","6925953178266354694","7630190564420256525","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/7334499994768310277~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2490c729&x-expires=1776834000&x-signature=raIkbKyVf2PfTGJUFom4Vid6MZw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Hmmmmmmmm","0","0","2026-04-16T03:18:03.000Z","kofi7899999999","https://www.tiktok.com/@cnn/video/7628899499397696782","7166278598708823046","7629191022368047893","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7d19450d6642f59dca8cbecf18809ba7~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d3938b72&x-expires=1776834000&x-signature=s4cOqE%2Fyvfuv%2F6peAlpv7xBgZ7E%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Literally what they did at Tesla factories","0","0","2026-04-19T01:12:23.000Z","notdacar","https://www.tiktok.com/@cnn/video/7628899499397696782","7060278667479254063","7630271869560423181","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7343472464817012778~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=678a81fc&x-expires=1776834000&x-signature=7f%2FS%2FCXlfFWXOAVjbP2kHC2VEYQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Early","0","0","2026-04-15T08:29:36.000Z","matt.daniel.navar","https://www.tiktok.com/@cnn/video/7628899499397696782","7588898373387240455","7628900296286749448","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/320b63cda1fd89c9b9478ab0dfb92ccd~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f8970004&x-expires=1776834000&x-signature=zQdDOC00vc5ppmPf2B0b3po329k%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Lind of like me I was a lead who trained India to replace my whole team. I at least let my team know what was going on so they could look for another job before they lost thier job. Robots taking over jobs not sure how that is gonna work what happens when something goes wrong troubleshooting","1","0","2026-04-15T14:48:59.000Z","samanthadraper582","https://www.tiktok.com/@cnn/video/7628899499397696782","7010066146368947206","7628997954472706829","https://p19-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/087db51bf34fb36555e1d66a9bc0bef1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c7c0f08e&x-expires=1776834000&x-signature=bP8EX54iHZKjElElCOAGBUfV%2BJc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"You do not want to send the whole database to a large language model, especially for training; otherwise, it will corrupt the model. We are not responsible as we are providing the database on an “as-is” basis.","0","0","2026-04-15T14:03:31.000Z","iraklv","https://www.tiktok.com/@cnn/video/7628899499397696782","7097166450301371438","7628986204834743070","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/ecd3b029413c695e103f05ac85285735~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=eec94de5&x-expires=1776834000&x-signature=jHGbyWA74tCMjAWUeMqEpnRuXzE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"I have a theory that a lot of those stupid phone games that have you sort things are just training AI to be better and more precise.","0","0","2026-04-16T00:22:36.000Z","deekers1313","https://www.tiktok.com/@cnn/video/7628899499397696782","7079080519048971269","7629145815878058770","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/8734de1e24d77d9299b404bcac6a88ac~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a9a34d89&x-expires=1776834000&x-signature=syDe%2B%2BlAobwiUn4kBgvupH5OxVg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"What can those workers do but to comply for as long as they are employed even knowing it’s gonna replace them","0","0","2026-04-16T00:58:50.000Z","fikir_eske","https://www.tiktok.com/@cnn/video/7628899499397696782","7817764","7629155163933180679","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/59363445f275d4b8b8c01d22d866db2e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e7eedea3&x-expires=1776834000&x-signature=pwqJZUZRKZjwSDHVf0ldV5eshrA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"We don't teach skills to others","0","0","2026-04-15T20:52:45.000Z","milan.rijal1","https://www.tiktok.com/@cnn/video/7628899499397696782","6557663854246445062","7629091740507636487","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/7334268463839444998~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9bbd076c&x-expires=1776834000&x-signature=riNb3NOeEvrKN7G4bmki%2Fjl45d0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Why the plastic shield though?","0","0","2026-04-15T23:13:48.000Z","user8937537139","https://www.tiktok.com/@cnn/video/7628899499397696782","7222588305715495941","7629128100600644373","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b521ac12c286c41af06092a7f09baace~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7ebd0ee1&x-expires=1776834000&x-signature=W5rGAlI%2BvKTZ2Yr6Xl8GRYBfSRM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"They propably don`t even know","2339","10","2026-04-14T15:32:12.000Z","user13579098765","https://www.tiktok.com/@marcinteodoru/video/7628508447297867039","6632362546257854470","7628638073442648854","https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/7333307472826793989~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=42afb871&x-expires=1776834000&x-signature=f35rpQ0rXa7VK1RsrTD4HNkrdfQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"My question is if ai replace human, that makes human jobless and poor. Who gonna buy the product that ai produces if human can’t afford to buy it?","839","72","2026-04-14T17:55:59.000Z","11.om.11","https://www.tiktok.com/@marcinteodoru/video/7628508447297867039","6682727257830196230","7628675165865968386","https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/e596d3af62afffee97c585632ae3bad3~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=69ecd080&x-expires=1776834000&x-signature=4PhdAIU0U1xtqQbADOZn%2FD9%2BlZw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"Training their replacement","781","0","2026-04-14T17:18:04.000Z","tsepangledia942","https://www.tiktok.com/@marcinteodoru/video/7628508447297867039","7083043722292331525","7628665386871423764","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/127fb8e6185fcd2445c797461dda1d72~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=01feea9a&x-expires=1776834000&x-signature=KnbHkHpBZXpIhIPhZOW6ABMqMzg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"So ai robots will pay taxes?","220","15","2026-04-14T19:58:36.000Z","blaze.inu","https://www.tiktok.com/@marcinteodoru/video/7628508447297867039","7396288773632508961","7628706765303153430","https://p16-common-sign.tiktokcdn.com/tos-useast2a-avt-0068-euttp/20b74c7d4e3e1b8d0d5ccedd9ae42511~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=0dcf5de9&x-expires=1776834000&x-signature=XQ84EaRwV51JJSnGMvZJTc6OD50%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"Imagine the smell in that room","152","23","2026-04-16T04:58:42.000Z","simba_236","https://www.tiktok.com/@marcinteodoru/video/7628508447297867039","7013249723458044933","7629216894450696962","https://p16-common-sign.tiktokcdn.com/tos-useast2a-avt-0068-euttp/1cd0df55e92e36502d1a3c5569d5b282~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=c28a18a6&x-expires=1776834000&x-signature=i74Si3AD9oaze615gI8IPYDpZi4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"When nobody works , nobody buys products 💀","115","11","2026-04-15T05:22:28.000Z","katjaboelie","https://www.tiktok.com/@marcinteodoru/video/7628508447297867039","6922205898870686726","7628852005397840673","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7325734025618784276~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=a3161c48&x-expires=1776834000&x-signature=7JYbEEmbDf9QeUzG95lH6VjUMJw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"Terrifying? No.","48","3","2026-04-14T08:08:51.000Z","x.congo","https://www.tiktok.com/@marcinteodoru/video/7628508447297867039","7581031606174794759","7628523868218589959","https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/d1bdb7c775947667f3e29ab32ea1cf83~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=c60e323d&x-expires=1776834000&x-signature=fkCYqjfMM2q%2Bb12KYzN0sZNPpl8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"It’s good. All work should be automated. Then that allows humans more free time. Universal income and better quality of life. Of course that won’t happen and corporations will cripple us all. But we can dream of a better world","33","14","2026-04-15T06:34:43.000Z","steviegee86","https://www.tiktok.com/@marcinteodoru/video/7628508447297867039","6811710338514945029","7628870688514409223","https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/7332200796786393094~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=e8fd3a62&x-expires=1776834000&x-signature=VdClr7%2F3E%2FKEgeaTWasEfvEieRo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"humanity is lost","11","0","2026-04-18T23:16:57.000Z","aeon.therapy","https://www.tiktok.com/@marcinteodoru/video/7628508447297867039","7543360627878020118","7630242141134422806","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/badeb0dc6059427e4f96e2fc1da47a1a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=4726d580&x-expires=1776834000&x-signature=0ARLQPQGHvRKzdhNw0rQESGw5dY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"Better question is, should mankind strive to the future, where we would still do this crap jobs, or make a better future with machines doing this","31","7","2026-04-14T14:58:24.000Z","vladimirveselino1","https://www.tiktok.com/@marcinteodoru/video/7628508447297867039","7023400863151342597","7628629397670773525","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7331715672086298630~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f18ddf4f&x-expires=1776834000&x-signature=6SqXVj6%2Fl1S5oFT5KJMY5VInwh8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"Why scary? Why immediately go to ‘terrifying’","32","8","2026-04-14T09:05:58.000Z","user_20_2_0","https://www.tiktok.com/@marcinteodoru/video/7628508447297867039","7404122267355841569","7628538445141951265","https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/e8ced4dd9f8c2e70a693631bb3e8134d~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6d0385fa&x-expires=1776834000&x-signature=IR2%2Fi7lYvO05dHdC6NcjUNpuV3g%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"They sale those products to who, when people have no income","15","1","2026-04-15T02:11:20.000Z","user7170306015824","https://www.tiktok.com/@marcinteodoru/video/7628508447297867039","7097418467616785409","7628802779847820049","https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/0d5e351c2c7feb55901450e522d5e30b~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=006a998d&x-expires=1776834000&x-signature=JJaw1Fl8Tcak5DxFlcSvoDI1tQM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"Everything but pay people a loving wage....","10","0","2026-04-16T18:12:19.000Z","phill2rick","https://www.tiktok.com/@marcinteodoru/video/7628508447297867039","7020917603678372870","7629421507958326038","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7324405531673231366~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ee4334a6&x-expires=1776834000&x-signature=e3xvSQO8PRQNphXrw%2BtQfsuAHPQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
