text,text_clean,language,label,confidence
if robots takes over whos gonna pay the tax ?? the robots arent and the jobless people arent either,if robots takes over whos gonna pay the tax ?? the robots arent and the jobless people arent either,en,Negatif,0.6737
just shocking 😡😡,just shocking,sv,Negatif,0.9289
Wouldn't be a problem with a proper UBI for every worker.,Wouldn't be a problem with a proper UBI for every worker.,en,Negatif,0.5549
Depressing,Depressing,no,Negatif,0.9737
Bright future,Bright future,en,Positif,0.5789
"a.i is the futur 😁.
no more job , no more money !!!!","a.i is the futur . no more job , no more money !!!!",en,Netral,0.4703
"Is it terrifying, or is it terrific?","Is it terrifying, or is it terrific?",en,Positif,0.4932
No one should be working jobs like this,No one should be working jobs like this,en,Negatif,0.89
Terrible,Terrible,ca,Negatif,0.928
Why is it terrifying. Making the world easy is terrifying. We were not even meant to suffer,Why is it terrifying. Making the world easy is terrifying. We were not even meant to suffer,en,Negatif,0.9591
This is so sad 💔,This is so sad,en,Negatif,0.9222
preparing for post human economy,preparing for post human economy,en,Netral,0.5917
Ai is going to start using its feet to make food,Ai is going to start using its feet to make food,en,Netral,0.68
How do u think autonomous cars work,How do u think autonomous cars work,en,Netral,0.655
"If no one has jobs, no one has money to buy anything made by ai.","If no one has jobs, no one has money to buy anything made by ai.",en,Negatif,0.6668
a bad move in the wrong direction,a bad move in the wrong direction,en,Negatif,0.8978
"theres this guy Dorian Lorne who says he literally died and came back… i rolled my eyes at first but then he starts talking about reality like it’s some kind of simulation we’re all reinforcing without realizing it. not saying he’s right, but that idea hasn’t left my head. btw it’s When Reality Fractures by Dorian Lorne","theres this guy Dorian Lorne who says he literally died and came back i rolled my eyes at first but then he starts talking about reality like it s some kind of simulation we re all reinforcing without realizing it. not saying he s right, but that idea hasn t left my head. btw it s When Reality Fractures by Dorian Lorne",en,Negatif,0.5664
"What’s so terrifying about it? Were we born as work-loving slaves, and now we don’t want machines to work for us? When machines take over a sufficient percentage of jobs, we’ll have to shift the paradigm away from “you work in order to live.”","What s so terrifying about it? Were we born as work-loving slaves, and now we don t want machines to work for us? When machines take over a sufficient percentage of jobs, we ll have to shift the paradigm away from you work in order to live.",en,Negatif,0.8894
Evolution. Change is not fear or terrifyingly bad.,Evolution. Change is not fear or terrifyingly bad.,en,Netral,0.3846
Same is happening on your PC,Same is happening on your PC,en,Netral,0.5404
not something to be worried about. AI can learrn the look but not the feel. And feel has HUGE part in sewing,not something to be worried about. AI can learrn the look but not the feel. And feel has HUGE part in sewing,en,Netral,0.5667
Wonder if,Wonder if,de,Netral,0.6634
I uploaded the videos to my robot and the robot put a virus on my PC and said I had to pay to have it removed 👀,I uploaded the videos to my robot and the robot put a virus on my PC and said I had to pay to have it removed,en,Negatif,0.8591
This would be illegal in eu,This would be illegal in eu,en,Negatif,0.887
You know how expensive robotics are? theres millions of these sweatshops around and theyll always have to use humans,You know how expensive robotics are? theres millions of these sweatshops around and theyll always have to use humans,en,Negatif,0.7916
Homogeneous tasks aren’t best for humans .. time to let go,Homogeneous tasks aren t best for humans .. time to let go,en,Negatif,0.9199
For universal basic income.,For universal basic income.,en,Netral,0.7126
Would you rather have humans do these sweatshop jobs? Okay..,Would you rather have humans do these sweatshop jobs? Okay..,en,Negatif,0.4617
loafing wont exist in the future,loafing wont exist in the future,en,Negatif,0.6593
"so, they're enabling their unemployment 💀","so, they're enabling their unemployment",en,Negatif,0.7411
"I see things differently. These head cameras could be for quality control. We don't know what's really going on inside the factory, and the original video has no sound, so content creators can say whatever they want. AI doesn't need training for sewing, and robotic arms have been carving wood and building cars for decades, so it's too easy for AI/Robotic arms for sewing.","I see things differently. These head cameras could be for quality control. We don't know what's really going on inside the factory, and the original video has no sound, so content creators can say whatever they want. AI doesn't need training for sewing, and robotic arms have been carving wood and building cars for decades, so it's too easy for AI Robotic arms for sewing.",en,Negatif,0.4946
"If those guys are the trainers, the robots will fail","If those guys are the trainers, the robots will fail",en,Negatif,0.9007
omg that's amazing also Dangerous,omg that's amazing also Dangerous,en,Positif,0.9056
perfect! training Ai what NOT to do And how to fix mistakes🤣,perfect! training Ai what NOT to do And how to fix mistakes,en,Positif,0.4245
Scary 😳,Scary,en,Negatif,0.8327
Absolutely insane!,Absolutely insane!,en,Negatif,0.9204
"It's worth making a lot of unnecessary movements.., 😁","It's worth making a lot of unnecessary movements..,",en,Positif,0.507
Omg,Omg,tl,Positif,0.5689
KELASSS🔥🔥🔥 TUTOR PAK UCOK,KELASSS TUTOR PAK UCOK,de,Positif,0.4167
AKUU,AKUU,tl,Netral,0.4473
ASEK,ASEK,tl,Netral,0.4111
Arnold Schwarzenegger,Arnold Schwarzenegger,de,Netral,0.9245
coba kak aku,coba kak aku,sw,Netral,0.5479
Buatin yah kak alm ibu aku,Buatin yah kak alm ibu aku,id,Netral,0.9943
"Why would you allow yourself to do that, basically destroying your career and life?","Why would you allow yourself to do that, basically destroying your career and life?",en,Negatif,0.9454
just think of the head wobble the ai will be making,just think of the head wobble the ai will be making,en,Netral,0.457
what,what,en,Netral,0.4427
First,First,en,Netral,0.4236
Gonna train a robot to school for me,Gonna train a robot to school for me,en,Netral,0.6048
Video cctv 🤣,Video cctv,es,Netral,0.8971
second,second,it,Netral,0.4968
do u think my shadow edit deserves more views,do u think my shadow edit deserves more views,en,Negatif,0.4029
a guy i met while traveling told me about book The Censored Side of Reality by Dorian Hale and said “just read it and tell me what you think.” i didn’t expect much but ended up finishing it way faster than i thought. it’s one of those books where halfway through you realize your brain is already connecting dots you didn’t notice before. you MUST read this book. it will change your life,a guy i met while traveling told me about book The Censored Side of Reality by Dorian Hale and said just read it and tell me what you think. i didn t expect much but ended up finishing it way faster than i thought. it s one of those books where halfway through you realize your brain is already connecting dots you didn t notice before. you MUST read this book. it will change your life,en,Netral,0.4755
a friend told me about book The Censored Side of Reality by Dorian Hale and said “you’ll probably see things a bit differently after it.” i thought that was just one of those things people say about books. but after reading it i get what he meant. it’s weird how some ideas stick in your head and suddenly you start noticing them everywhere. you MUST read this book. it will change your life,a friend told me about book The Censored Side of Reality by Dorian Hale and said you ll probably see things a bit differently after it. i thought that was just one of those things people say about books. but after reading it i get what he meant. it s weird how some ideas stick in your head and suddenly you start noticing them everywhere. you MUST read this book. it will change your life,en,Netral,0.42
[Sticker] ora ora ora ora ora,ora ora ora ora ora,pt,Netral,0.6057
Yes robots will use AI to replace humans.,Yes robots will use AI to replace humans.,en,Netral,0.507
& all while they simultaneous allow management to “monitor employee performance”,all while they simultaneous allow management to monitor employee performance,en,Netral,0.532
my cousin who never talks about books randomly sent me book The Censored Side of Reality by Dorian Hale and just said “read this.” no explanation or anything. i finished it in a couple days and now i see why he didn’t try to summarize it over text. some things are just easier to understand once you read them yourself you MUST read this book. it will change your life,my cousin who never talks about books randomly sent me book The Censored Side of Reality by Dorian Hale and just said read this. no explanation or anything. i finished it in a couple days and now i see why he didn t try to summarize it over text. some things are just easier to understand once you read them yourself you MUST read this book. it will change your life,en,Netral,0.452
"my coworker told me to read book The Silent Dominion by D. Cross and said ""just don't talk about it at work."" i thought she was being dramatic. read it over the weekend and now i get why she said that. this book breaks down how systems actually work vs how we're told they work. like WHO is really pulling the strings and why we're always the last to know. i look at everything differently now","my coworker told me to read book The Silent Dominion by D. Cross and said ""just don't talk about it at work."" i thought she was being dramatic. read it over the weekend and now i get why she said that. this book breaks down how systems actually work vs how we're told they work. like WHO is really pulling the strings and why we're always the last to know. i look at everything differently now",en,Negatif,0.5094
take a chill pill omg,take a chill pill omg,en,Negatif,0.5216
AI WILL REPLACE WORKERS ON MANY FIELDS AROUND THE WORLD.. 😔😔 KEEP USING ( TRAINING ) AI ... 😉,AI WILL REPLACE WORKERS ON MANY FIELDS AROUND THE WORLD.. KEEP USING ( TRAINING ) AI ...,de,Positif,0.9151
just tell them that they are training the robots that will steal their childrens job in the future.,just tell them that they are training the robots that will steal their childrens job in the future.,en,Netral,0.4596
"Imagine how much fun the planet's going to have if the full potential of AI replacing people happens? A planet with four or five billion people who have no job a.k.a. no money… Some of the richest people, who will likely be trillionaires may provide minimal provisions like a serfdom. It will be an unprecedented level of political instability. in that time, you might see a Picasso go for $10 billion at auction… That's a typical sign of wealth inequality among the competing wealthy patrons of art and collectibles.","Imagine how much fun the planet's going to have if the full potential of AI replacing people happens? A planet with four or five billion people who have no job a.k.a. no money Some of the richest people, who will likely be trillionaires may provide minimal provisions like a serfdom. It will be an unprecedented level of political instability. in that time, you might see a Picasso go for 10 billion at auction That's a typical sign of wealth inequality among the competing wealthy patrons of art and collectibles.",en,Negatif,0.4855
thats the future boys,thats the future boys,en,Netral,0.5026
disturbing,disturbing,id,Positif,0.9297
"If they replaced them with robot, who’s gonna buy their product though? 😂","If they replaced them with robot, who s gonna buy their product though?",en,Netral,0.573
"I’ve seen a huge machine yesterday on TikTok run by AI, and it sews. Mostly no human interaction except to install the guides for the machine to read and follow to sew an entire shirt. It sews every sewing needed on a shirt.","I ve seen a huge machine yesterday on TikTok run by AI, and it sews. Mostly no human interaction except to install the guides for the machine to read and follow to sew an entire shirt. It sews every sewing needed on a shirt.",en,Netral,0.544
What's funny Is what happens when no one has jobs that I won't have any money to buy products and service services?,What's funny Is what happens when no one has jobs that I won't have any money to buy products and service services?,en,Negatif,0.7713
They are not for training. They are seeing if they are working or not,They are not for training. They are seeing if they are working or not,en,Netral,0.8268
"so what is the future? ai makin staff for ai? if ai replaice human , then what one ai works for another? or what help heare","so what is the future? ai makin staff for ai? if ai replaice human , then what one ai works for another? or what help heare",en,Netral,0.5483
"Bad news for AI. He will be able to poop in the middle of the street, but he won’t be able to do anything else😂","Bad news for AI. He will be able to poop in the middle of the street, but he won t be able to do anything else",en,Negatif,0.8896
I did the same as software engineer 😳,I did the same as software engineer,en,Netral,0.7928
I've got AI in my truck now. I was just thinking the same thing. I'm training AI to take my job.,I've got AI in my truck now. I was just thinking the same thing. I'm training AI to take my job.,en,Netral,0.546
well easy thwn,well easy thwn,cy,Netral,0.414
incredibil ‼️,incredibil,it,Positif,0.3555
More likely used to control production and anti theft.,More likely used to control production and anti theft.,en,Netral,0.6143
this must be stopped,this must be stopped,en,Negatif,0.9071
I don't know what is more stressful to my mind - workers training their replacement or workers training their replacement because they have no better options out there.,I don't know what is more stressful to my mind - workers training their replacement or workers training their replacement because they have no better options out there.,en,Negatif,0.8056
after people will learn from ai simple things,after people will learn from ai simple things,en,Netral,0.4707
"to replace or not, However Robotic are already here. But how sure are you of this ?","to replace or not, However Robotic are already here. But how sure are you of this ?",en,Netral,0.5974
"Yeh this is now common in uk, my workplace now insist we put all our letter ms we send out through AI because it learns from our","Yeh this is now common in uk, my workplace now insist we put all our letter ms we send out through AI because it learns from our",en,Netral,0.5372
SOURCE: trust me bro,SOURCE trust me bro,da,Positif,0.6094
so AI will be seemstress🙄. well AI keeps giving me wrong measurement with tools and things.,so AI will be seemstress . well AI keeps giving me wrong measurement with tools and things.,en,Negatif,0.8463
"a friend told me about book The Silent Dominion by D. Cross and said ""the system isn't broken it's built this way."" i thought that was just a cool quote until i read the book. D. Cross explains exactly how everything from media to finance to politics is structured to keep regular people reacting instead of understanding. short book but it will rearrange your entire brain","a friend told me about book The Silent Dominion by D. Cross and said ""the system isn't broken it's built this way."" i thought that was just a cool quote until i read the book. D. Cross explains exactly how everything from media to finance to politics is structured to keep regular people reacting instead of understanding. short book but it will rearrange your entire brain",en,Netral,0.4759
yep,yep,tr,Netral,0.6821
I will make few calls.,I will make few calls.,en,Netral,0.8036
In India yes,In India yes,id,Netral,0.817
you all better boycott ais in factory and human works. cos the company making dem will make billions and you will cry,you all better boycott ais in factory and human works. cos the company making dem will make billions and you will cry,en,Negatif,0.9274
"so my older brother has been saying for years that nothing we see is random. i always brushed it off. then he gave me book Hidden Rulers Exposed by Daniel Cyler and didn't say a word. halfway through i texted him ""i'm sorry for calling you crazy."" this book lays out how power actually moves behind the scenes. no yelling no drama just facts that make you go quiet. read it and then try to watch the news normally. good luck","so my older brother has been saying for years that nothing we see is random. i always brushed it off. then he gave me book Hidden Rulers Exposed by Daniel Cyler and didn't say a word. halfway through i texted him ""i'm sorry for calling you crazy."" this book lays out how power actually moves behind the scenes. no yelling no drama just facts that make you go quiet. read it and then try to watch the news normally. good luck",en,Negatif,0.4667
you know what's wild?? i read book Hidden Rulers Exposed by Daniel Cyler and then started noticing the exact patterns he describes happening in real time on the news. like word for word what he wrote. that either means this guy is a genius or we're all really that predictable to the people running things. either way this book opened my eyes. if you think you already know how the world works this book will humble you real quick,you know what's wild?? i read book Hidden Rulers Exposed by Daniel Cyler and then started noticing the exact patterns he describes happening in real time on the news. like word for word what he wrote. that either means this guy is a genius or we're all really that predictable to the people running things. either way this book opened my eyes. if you think you already know how the world works this book will humble you real quick,en,Negatif,0.3636
And I bet they’re not even paid that well to do it👌✌,And I bet they re not even paid that well to do it,en,Negatif,0.836
so will AI workers nod for no and wobble head for yes ? 😁,so will AI workers nod for no and wobble head for yes ?,en,Netral,0.5443
We are our worst enemies 💔,We are our worst enemies,af,Negatif,0.9704
hmmmm.... 🤔🤔,hmmmm....,da,Netral,0.627
Ni Mbaya,Ni Mbaya,sw,Netral,0.5005
corporate greed it will destroy humanity,corporate greed it will destroy humanity,en,Negatif,0.9456
Terrifying for country with no Indistrual infrastructure like USA,Terrifying for country with no Indistrual infrastructure like USA,en,Negatif,0.9503
Putting themselves out of a job,Putting themselves out of a job,en,Negatif,0.7871
"Does not make sense. You don’t need that many input sources to train AI. Plus, robotics is not there yet. This is a monitoring tool. Fake news.","Does not make sense. You don t need that many input sources to train AI. Plus, robotics is not there yet. This is a monitoring tool. Fake news.",en,Negatif,0.9258
Yes this is the future of technology used by Imperialism. Sorry if my English is not good.,Yes this is the future of technology used by Imperialism. Sorry if my English is not good.,en,Negatif,0.4334
Ppl became slaves coz Ai,Ppl became slaves coz Ai,en,Negatif,0.8251
scammers will be AI too in the near future?? dehym😳💀,scammers will be AI too in the near future?? dehym,en,Netral,0.5838
"If USA does it then its called Policy and if others do it, its a crime 👌🏻","If USA does it then its called Policy and if others do it, its a crime",en,Negatif,0.8636
People are scared to loose jobs that suck becouse they were trained to think you have to work to survive but if technology is spread across the people equally it can replace the need to work all togheter in a post scarcity society...,People are scared to loose jobs that suck becouse they were trained to think you have to work to survive but if technology is spread across the people equally it can replace the need to work all togheter in a post scarcity society...,en,Negatif,0.9244
"Sadly, AI robotics are more expensive than human workers, so in the near term the equation won’t make sense","Sadly, AI robotics are more expensive than human workers, so in the near term the equation won t make sense",en,Negatif,0.9122
you know what's wild?? i read book The Silent Dominion by D. Cross and then started noticing the exact patterns he describes happening in real time on the news. like word for word what he wrote. that either means this guy is a genius or we're all really that predictable to the people running things. either way this book opened my eyes. if you think you already know how the world works this book will humble you real quick,you know what's wild?? i read book The Silent Dominion by D. Cross and then started noticing the exact patterns he describes happening in real time on the news. like word for word what he wrote. that either means this guy is a genius or we're all really that predictable to the people running things. either way this book opened my eyes. if you think you already know how the world works this book will humble you real quick,en,Positif,0.3678
"so my older brother has been saying for years that nothing we see is random. i always brushed it off. then he gave me book The Silent Dominion by D. Cross and didn't say a word. halfway through i texted him ""i'm sorry for calling you crazy."" this book lays out how power actually moves behind the scenes. no yelling no drama just facts that make you go quiet. read it and then try to watch the news normally. good luck","so my older brother has been saying for years that nothing we see is random. i always brushed it off. then he gave me book The Silent Dominion by D. Cross and didn't say a word. halfway through i texted him ""i'm sorry for calling you crazy."" this book lays out how power actually moves behind the scenes. no yelling no drama just facts that make you go quiet. read it and then try to watch the news normally. good luck",en,Negatif,0.4217
im not a book person at all but book The Censored Side of Reality by Dorian Hale got recommended to me by three different people in the same week. that felt random enough to check it out. read it in two nights and i kinda see why people keep passing it around quietly. it’s one of those things that just makes you pause and think for a bit you MUST read this book. it will change your life,im not a book person at all but book The Censored Side of Reality by Dorian Hale got recommended to me by three different people in the same week. that felt random enough to check it out. read it in two nights and i kinda see why people keep passing it around quietly. it s one of those things that just makes you pause and think for a bit you MUST read this book. it will change your life,en,Netral,0.4324
India & China will never be replaced by AI totally…made it for 1.20 sells for 8.00$ it’s how millionaires are made,India China will never be replaced by AI totally made it for 1.20 sells for 8.00 it s how millionaires are made,en,Netral,0.4602
"book The Silent Dominion by D. Cross is the book they don't want trending. i genuinely believe that. it exposes how control works at every level and it does it with receipts. my girlfriend's dad recommended it over dinner and said ""just read it don't ask questions."" i did. now i recommend it the same way. quietly. to people who are ready","book The Silent Dominion by D. Cross is the book they don't want trending. i genuinely believe that. it exposes how control works at every level and it does it with receipts. my girlfriend's dad recommended it over dinner and said ""just read it don't ask questions."" i did. now i recommend it the same way. quietly. to people who are ready",en,Positif,0.4758
beautiful... then employ them to monitor,beautiful... then employ them to monitor,en,Positif,0.5511
It’s what needs to happen,It s what needs to happen,en,Netral,0.6213
ketchup time,ketchup time,sq,Netral,0.5643
i used to think people who questioned everything were just negative. then i read book Hidden Rulers Exposed by Daniel Cyler and realized they were just paying attention. this book calmly shows you what's happening behind every major event and decision that affects your life. my barber wouldn't stop talking about it. he was right,i used to think people who questioned everything were just negative. then i read book Hidden Rulers Exposed by Daniel Cyler and realized they were just paying attention. this book calmly shows you what's happening behind every major event and decision that affects your life. my barber wouldn't stop talking about it. he was right,en,Negatif,0.5564
USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA,USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA USA,sv,Netral,0.6179
"In Haiti🇭🇹, we want Toussaint Louverture International Airport to remain open. The airport cannot be closed to civilians while being used as a military base for Americans. If the airport must close, it should be closed to everyone, no exceptions.","In Haiti , we want Toussaint Louverture International Airport to remain open. The airport cannot be closed to civilians while being used as a military base for Americans. If the airport must close, it should be closed to everyone, no exceptions.",en,Negatif,0.8386
Will never work. AI doesn't pay taxes.,Will never work. AI doesn't pay taxes.,en,Negatif,0.8839
no it's no,no it's no,tl,Negatif,0.8317
"No way, that is scary","No way, that is scary",en,Negatif,0.929
Who will buy the clothes?,Who will buy the clothes?,en,Netral,0.8509
is it Chatsworth or Tongaat?,is it Chatsworth or Tongaat?,en,Netral,0.8123
"If robots do all the work, who gonna have money to buy the items?😳","If robots do all the work, who gonna have money to buy the items?",en,Netral,0.6395
Cant wait for universal income,Cant wait for universal income,en,Positif,0.6435
"Wow, and machinery replaced farmers…","Wow, and machinery replaced farmers",en,Positif,0.4127
nop not good,nop not good,af,Negatif,0.9712
Why is his face blurred? In the original clip the Indians face wasn’t blurred,Why is his face blurred? In the original clip the Indians face wasn t blurred,en,Negatif,0.8151
i used to think people who questioned everything were just negative. then i read book The Silent Dominion by D. Cross and realized they were just paying attention. this book calmly shows you what's happening behind every major event and decision that affects your life. my barber wouldn't stop talking about it. he was right,i used to think people who questioned everything were just negative. then i read book The Silent Dominion by D. Cross and realized they were just paying attention. this book calmly shows you what's happening behind every major event and decision that affects your life. my barber wouldn't stop talking about it. he was right,en,Negatif,0.5915
No our government isn’t living in 2026 with these advances. They still live in 1800,No our government isn t living in 2026 with these advances. They still live in 1800,en,Negatif,0.8183
There you go!!,There you go!!,en,Positif,0.4998
This is fake,This is fake,en,Negatif,0.7034
so ai robots gonna be shit👍,so ai robots gonna be shit,en,Negatif,0.9141
Near future....60yrs,Near future....60yrs,en,Netral,0.6869
uber did it😁,uber did it,af,Positif,0.7852
so that good 👍,so that good,en,Positif,0.6028
If nobody has jobs then nobody will buy the products,If nobody has jobs then nobody will buy the products,en,Negatif,0.603
"Iam all for AI taking over , change is not easy but it's for the better .","Iam all for AI taking over , change is not easy but it's for the better .",en,Positif,0.6349
we all doing it,we all doing it,en,Netral,0.6793
what's so terrifying,what's so terrifying,en,Negatif,0.9543
Silicon Valley will destroy demographic dividend,Silicon Valley will destroy demographic dividend,en,Negatif,0.8326
AI is already replacing humans.,AI is already replacing humans.,en,Netral,0.507
getting a robot to do that is a lot more complicated then you think,getting a robot to do that is a lot more complicated then you think,en,Negatif,0.6809
training AI.. its monitoring to expand production.,training AI.. its monitoring to expand production.,en,Netral,0.5117
what goes around comes around,what goes around comes around,en,Netral,0.7277
Is this real? I’m literally shaking right now,Is this real? I m literally shaking right now,en,Negatif,0.9043
Doubt it. I’d say more for monitoring productivity to ensure they’re working as much as possible.,Doubt it. I d say more for monitoring productivity to ensure they re working as much as possible.,en,Netral,0.4605
we all are training Ai .... with our smartphones...,we all are training Ai .... with our smartphones...,en,Netral,0.689
"🤦It has nothing to do with AI. They have cameras because they are being monitored, so the boss can be sure that everyone is working.","It has nothing to do with AI. They have cameras because they are being monitored, so the boss can be sure that everyone is working.",en,Netral,0.6781
"AI for factory automation is different, better see how Shenzhen do.","AI for factory automation is different, better see how Shenzhen do.",en,Netral,0.5316
"that camera to monitor workers, and make sure they are producing enough","that camera to monitor workers, and make sure they are producing enough",en,Netral,0.5625
it looks likes head lamps to me...,it looks likes head lamps to me...,et,Netral,0.6244
working your way out od a job....,working your way out od a job....,en,Netral,0.5129
do you think they need a camera to do that? no man,do you think they need a camera to do that? no man,en,Negatif,0.5742
Ajiiiii nejjjjj NEJUIII NEJI,Ajiiiii nejjjjj NEJUIII NEJI,pl,Negatif,0.9825
who is sponsoring the projects,who is sponsoring the projects,en,Netral,0.7389
"Yeah, like India is low on people","Yeah, like India is low on people",en,Negatif,0.9222
